type,color,extensions,tm_scope,ace_mode,language_id,language,aliases,codemirror_mode,codemirror_mime_type,interpreters,group,filenames,wrap,fs_name,searchable
markup,#d8df39,['.per'],source.genero-per,text,902995658,Genero per,,,,,,,,,
programming,#fb855d,['.gs'],none,text,792408528,Genie,,,,,,,,,
programming,#951531,['.kid'],text.xml.genshi,xml,126,Genshi,"['xml+genshi', 'xml+kid']",xml,text/xml,,,,,,
programming,#9400ff,['.ebuild'],source.shell,sh,127,Gentoo Ebuild,,shell,text/x-sh,,Shell,,,,
programming,#9400ff,['.eclass'],source.shell,sh,128,Gentoo Eclass,,shell,text/x-sh,,Shell,,,,
data,#d20b00,"['.gbr', '.cmp', '.gbl', '.gbo', '.gbp', '.gbs', '.gko', '.gml', '.gpb', '.gpt', '.gtl', '.gto', '.gtp', '.gts', '.ncl', '.sol']",source.gerber,text,404627610,Gerber Image,['rs-274x'],,,"['gerbv', 'gerbview']",,,,,
prose,,"['.po', '.pot']",source.po,text,129,Gettext Catalog,['pot'],,,,,,,,
programming,#5B2063,"['.feature', '.story']",text.gherkin.feature,text,76,Gherkin,['cucumber'],,,,,,,,
data,#F44D27,,source.gitattributes,gitignore,956324166,Git Attributes,['gitattributes'],shell,text/x-sh,,,['.gitattributes'],,,
data,#F44D27,['.gitconfig'],source.gitconfig,ini,807968997,Git Config,"['gitconfig', 'gitmodules']",properties,text/x-properties,,INI,"['.gitconfig', '.gitmodules']",,,
data,#F44D27,,source.git-revlist,text,461881235,Git Revision List,['Git Blame Ignore Revs'],,,,,['.git-blame-ignore-revs'],,,
programming,#ffaff3,['.gleam'],source.gleam,text,1054258749,Gleam,,,,,,,,,
programming,#F5835F,['.gjs'],source.gjs,javascript,5523150,Glimmer JS,,,,,JavaScript,,,,
programming,#3178c6,['.gts'],source.gts,typescript,95110458,Glimmer TS,,,,,TypeScript,,,,
programming,#c1ac7f,['.glf'],source.tcl,tcl,130,Glyph,,tcl,text/x-tcl,,,,,,
data,,['.bdf'],source.bdf,text,997665271,Glyph Bitmap Distribution Format,,,,,,,,,
programming,#f0a9f0,"['.gp', '.gnu', '.gnuplot', '.p', '.plot', '.plt']",source.gnuplot,text,131,Gnuplot,,,,['gnuplot'],,,,,
programming,#00ADD8,['.go'],source.go,golang,132,Go,['golang'],go,text/x-go,,,,,,
data,#00ADD8,,go.sum,text,1054391671,Go Checksums,"['go.sum', 'go sum', 'go.work.sum', 'go work sum']",,,,,"['go.sum', 'go.work.sum']",,,
data,#00ADD8,,go.mod,text,947461016,Go Module,"['go.mod', 'go mod']",,,,,['go.mod'],,,
data,#00ADD8,,go.mod,text,934546256,Go Workspace,"['go.work', 'go work']",,,,,['go.work'],,,
data,#355570,"['.gdnlib', '.gdns', '.tres', '.tscn']",source.gdresource,text,738107771,Godot Resource,,,,,,['project.godot'],,,
programming,#88562A,['.golo'],source.golo,text,133,Golo,,,,,,,,,
programming,#82937f,"['.gs', '.gst', '.gsx', '.vark']",source.gosu.2,text,134,Gosu,,,,,,,,,
programming,#615f8b,['.grace'],source.grace,text,135,Grace,,,,,,,,,
